,Unnamed: 0,timestamp,mx,my,mz,mAc
0,0.0,5000.0,-10.13,43.91,-5.57,ACCURACY_VERYGOOD
1,1.0,5100.0,-10.13,43.91,-5.57,ACCURACY_VERYGOOD
2,2.0,5200.0,-10.13,43.91,-5.57,ACCURACY_VERYGOOD
3,3.0,5300.0,-10.13,43.91,-5.57,ACCURACY_VERYGOOD
4,4.0,5400.0,-10.13,43.91,-5.57,ACCURACY_VERYGOOD
5,5.0,5500.0,-4.55,43.02,-9.42,ACCURACY_VERYGOOD
6,6.0,5600.0,-4.55,43.02,-9.42,ACCURACY_VERYGOOD
7,7.0,5700.0,-4.55,43.02,-9.42,ACCURACY_VERYGOOD
8,8.0,5800.0,-1.07,40.68,-17.94,ACCURACY_VERYGOOD
9,9.0,5900.0,-1.07,40.68,-17.94,ACCURACY_VERYGOOD
10,10.0,6000.0,-1.07,40.68,-17.94,ACCURACY_VERYGOOD
11,11.0,6100.0,-1.07,40.68,-17.94,ACCURACY_VERYGOOD
12,12.0,6200.0,-1.07,39.11,-19.92,ACCURACY_VERYGOOD
13,13.0,6300.0,-1.07,39.11,-19.92,ACCURACY_VERYGOOD
14,14.0,6400.0,-4.55,38.45,-22.26,ACCURACY_VERYGOOD
15,15.0,6500.0,-4.55,38.45,-22.26,ACCURACY_VERYGOOD
16,16.0,6600.0,-4.55,37.73,-24.6,ACCURACY_VERYGOOD
17,17.0,6700.0,-4.55,37.73,-24.6,ACCURACY_VERYGOOD
18,18.0,6800.0,-4.55,37.73,-24.6,ACCURACY_VERYGOOD
19,19.0,6900.0,-1.07,36.05,-23.76,ACCURACY_VERYGOOD
20,20.0,7000.0,-1.07,36.05,-23.76,ACCURACY_VERYGOOD
21,21.0,7100.0,-1.07,36.05,-23.76,ACCURACY_VERYGOOD
22,22.0,7200.0,0.23,35.34,-24.0,ACCURACY_VERYGOOD
23,23.0,7300.0,0.23,35.34,-24.0,ACCURACY_VERYGOOD
24,24.0,7400.0,0.23,35.34,-24.0,ACCURACY_VERYGOOD
25,25.0,7500.0,0.23,35.34,-24.0,ACCURACY_VERYGOOD
26,26.0,7600.0,-1.07,38.93,-19.31,ACCURACY_VERYGOOD
27,27.0,7700.0,-1.07,38.93,-19.31,ACCURACY_VERYGOOD
28,28.0,7800.0,-1.79,41.63,-16.26,ACCURACY_VERYGOOD
29,29.0,7900.0,-1.79,41.63,-16.26,ACCURACY_VERYGOOD
30,30.0,8000.0,-1.79,41.63,-16.26,ACCURACY_VERYGOOD
31,31.0,8100.0,-3.17,36.65,-23.57,ACCURACY_VERYGOOD
32,32.0,8200.0,-3.17,36.65,-23.57,ACCURACY_VERYGOOD
33,33.0,8300.0,-3.17,36.65,-23.57,ACCURACY_VERYGOOD
34,34.0,8400.0,0.23,39.41,-18.35,ACCURACY_VERYGOOD
35,35.0,8500.0,0.23,39.41,-18.35,ACCURACY_VERYGOOD
